State,"County, State",2017 Food Insecurity Rate,lat,lng
AL,"Autauga County, Alabama",0.132,32.5791817,-86.49965460000001
AL,"Baldwin County, Alabama",0.11599999999999999,30.6010744,-87.77633329999999
AL,"Barbour County, Alabama",0.22,31.8172896,-85.35496499999999
AL,"Bibb County, Alabama",0.14300000000000002,32.9562798,-87.14228949999999
AL,"Blount County, Alabama",0.107,34.0145152,-86.49965460000001
AL,"Bullock County, Alabama",0.248,32.0573536,-85.7256372
AL,"Butler County, Alabama",0.20600000000000002,31.6760284,-86.6611083
AL,"Calhoun County, Alabama",0.157,33.7701576,-85.80766
AL,"Chambers County, Alabama",0.179,32.9028048,-85.35496499999999
AL,"Cherokee County, Alabama",0.125,34.1665322,-85.684578
AL,"Chilton County, Alabama",0.131,32.944392,-86.6611083
AL,"Choctaw County, Alabama",0.195,32.0716631,-88.24611829999999
AL,"Clarke County, Alabama",0.22899999999999998,31.7002461,-87.77633329999999
AL,"Clay County, Alabama",0.145,33.279527,-85.84862360000001
AL,"Cleburne County, Alabama",0.135,33.6261707,-85.52002399999999
AL,"Coffee County, Alabama",0.142,31.4751172,-86.0121573
AL,"Colbert County, Alabama",0.147,34.7117567,-87.89424509999999
AL,"Conecuh County, Alabama",0.209,31.501571,-86.9824288
AL,"Coosa County, Alabama",0.157,32.8897772,-86.2196937
AL,"Covington County, Alabama",0.146,31.3066438,-86.49965460000001
AL,"Crenshaw County, Alabama",0.158,31.6671872,-86.3376761
AL,"Cullman County, Alabama",0.11800000000000001,34.2011537,-86.8220341
AL,"Dale County, Alabama",0.161,31.4645298,-85.684578
AL,"Dallas County, Alabama",0.272,32.2332138,-87.14228949999999
AL,"DeKalb County, Alabama",0.124,34.5211397,-85.684578
AL,"Elmore County, Alabama",0.133,32.5647083,-86.0121573
AL,"Escambia County, Alabama",0.184,31.1394734,-87.14228949999999
AL,"Etowah County, Alabama",0.146,34.0455341,-86.05296039999999
AL,"Fayette County, Alabama",0.14400000000000002,33.6871392,-87.77633329999999
AL,"Franklin County, Alabama",0.129,34.3967457,-87.6186379
AL,"Geneva County, Alabama",0.14800000000000002,31.0990456,-85.684578
AL,"Greene County, Alabama",0.297,32.9718107,-87.9334803
AL,"Hale County, Alabama",0.222,32.7859102,-87.6186379
AL,"Henry County, Alabama",0.142,31.4469377,-85.1894045
AL,"Houston County, Alabama",0.165,31.1318686,-85.31362179999999
AL,"Jackson County, Alabama",0.136,34.7090388,-86.0121573
AL,"Jefferson County, Alabama",0.17800000000000002,33.4914122,-86.9824288
AL,"Lamar County, Alabama",0.152,33.6923649,-88.0900762
AL,"Lauderdale County, Alabama",0.14,34.8840876,-87.658113
AL,"Lawrence County, Alabama",0.134,34.567428,-87.30161319999999
AL,"Lee County, Alabama",0.17,32.5888702,-85.39627689999999
AL,"Limestone County, Alabama",0.122,34.78000720000001,-86.9423801
AL,"Lowndes County, Alabama",0.264,32.221464,-86.6611083
AL,"Macon County, Alabama",0.256,32.3731182,-85.684578
AL,"Madison County, Alabama",0.138,34.72397309999999,-86.49965460000001
AL,"Marengo County, Alabama",0.22,32.2459085,-87.77633329999999
AL,"Marion County, Alabama",0.133,34.0441174,-87.77633329999999
AL,"Marshall County, Alabama",0.122,34.3652297,-86.3376761
AL,"Mobile County, Alabama",0.179,30.6082227,-88.24611829999999
AL,"Monroe County, Alabama",0.24100000000000002,31.5119068,-87.460397
AL,"Montgomery County, Alabama",0.207,32.2077447,-86.17517590000001
AL,"Morgan County, Alabama",0.129,34.4240875,-86.86218269999999
AL,"Perry County, Alabama",0.28600000000000003,32.598888,-87.30161319999999
AL,"Pickens County, Alabama",0.18899999999999997,33.3339954,-88.0900762
AL,"Pike County, Alabama",0.21,31.8395163,-86.0121573
AL,"Randolph County, Alabama",0.153,33.2681523,-85.52002399999999
AL,"Russell County, Alabama",0.192,32.3552497,-85.1894045
AL,"St. Clair County, Alabama",0.11699999999999999,33.6530112,-86.3376761
AL,"Shelby County, Alabama",0.09300000000000001,33.3039292,-86.6611083
AL,"Sumter County, Alabama",0.27699999999999997,32.6155551,-88.24611829999999
AL,"Talladega County, Alabama",0.172,33.4231716,-86.1344697
AL,"Tallapoosa County, Alabama",0.166,32.9201244,-85.84862360000001
AL,"Tuscaloosa County, Alabama",0.16399999999999998,33.3227653,-87.460397
